# session_id,valid|invalid,reason
M1_00001,valid,normal LOGIN->VIEW->LOGOUT session
M1_00002,invalid,missing LOGOUT
M1_00003,valid,normal LOGIN->VIEW->LOGOUT session
M1_00004,valid,normal LOGIN->VIEW->LOGOUT session
M1_00005,valid,normal LOGIN->VIEW->LOGOUT session
M1_00006,valid,normal LOGIN->VIEW->LOGOUT session
M1_00007,valid,normal LOGIN->VIEW->LOGOUT session
M1_00008,valid,normal LOGIN->VIEW->LOGOUT session
M1_00009,valid,normal LOGIN->VIEW->LOGOUT session
M1_00010,invalid,missing LOGOUT
M1_00011,valid,normal LOGIN->VIEW->LOGOUT session
M1_00012,valid,normal LOGIN->VIEW->LOGOUT session
M1_00013,invalid,missing LOGIN
M1_00014,valid,normal LOGIN->VIEW->LOGOUT session
M1_00015,valid,normal LOGIN->VIEW->LOGOUT session
M1_00016,valid,normal LOGIN->VIEW->LOGOUT session
M1_00017,valid,normal LOGIN->VIEW->LOGOUT session
M1_00018,valid,normal LOGIN->VIEW->LOGOUT session
M1_00019,invalid,action after LOGOUT
M1_00020,valid,normal LOGIN->VIEW->LOGOUT session
M1_00021,invalid,action after LOGOUT
M1_00022,invalid,missing LOGOUT
M1_00023,invalid,action after LOGOUT
M1_00024,valid,normal LOGIN->VIEW->LOGOUT session
M1_00025,invalid,action after LOGOUT
M1_00026,valid,normal LOGIN->VIEW->LOGOUT session
M1_00027,invalid,missing LOGIN
M1_00028,valid,normal LOGIN->VIEW->LOGOUT session
M1_00029,valid,normal LOGIN->VIEW->LOGOUT session
M1_00030,valid,normal LOGIN->VIEW->LOGOUT session
M1_00031,valid,normal LOGIN->VIEW->LOGOUT session
M1_00032,invalid,missing LOGIN
M1_00033,valid,normal LOGIN->VIEW->LOGOUT session
M1_00034,valid,normal LOGIN->VIEW->LOGOUT session
M1_00035,invalid,missing LOGOUT
M1_00036,valid,normal LOGIN->VIEW->LOGOUT session
M1_00037,valid,normal LOGIN->VIEW->LOGOUT session
M1_00038,invalid,missing LOGIN
M1_00039,valid,normal LOGIN->VIEW->LOGOUT session
M1_00040,invalid,missing LOGOUT
M1_00041,valid,normal LOGIN->VIEW->LOGOUT session
M1_00042,valid,normal LOGIN->VIEW->LOGOUT session
M1_00043,invalid,action after LOGOUT
M1_00044,valid,normal LOGIN->VIEW->LOGOUT session
M1_00045,valid,normal LOGIN->VIEW->LOGOUT session
M1_00046,invalid,missing LOGOUT
M1_00047,invalid,missing LOGIN
M1_00048,valid,normal LOGIN->VIEW->LOGOUT session
M1_00049,valid,normal LOGIN->VIEW->LOGOUT session
M1_00050,invalid,action after LOGOUT
M1_00051,valid,normal LOGIN->VIEW->LOGOUT session
M1_00052,invalid,missing LOGOUT
M1_00053,invalid,missing LOGOUT
M1_00054,valid,normal LOGIN->VIEW->LOGOUT session
M1_00055,valid,normal LOGIN->VIEW->LOGOUT session
M1_00056,valid,normal LOGIN->VIEW->LOGOUT session
M1_00057,valid,normal LOGIN->VIEW->LOGOUT session
M1_00058,valid,normal LOGIN->VIEW->LOGOUT session
M1_00059,valid,normal LOGIN->VIEW->LOGOUT session
M1_00060,valid,normal LOGIN->VIEW->LOGOUT session
M1_00061,valid,normal LOGIN->VIEW->LOGOUT session
M1_00062,valid,normal LOGIN->VIEW->LOGOUT session
M1_00063,valid,normal LOGIN->VIEW->LOGOUT session
M1_00064,invalid,action after LOGOUT
M1_00065,valid,normal LOGIN->VIEW->LOGOUT session
M1_00066,valid,normal LOGIN->VIEW->LOGOUT session
M1_00067,valid,normal LOGIN->VIEW->LOGOUT session
M1_00068,valid,normal LOGIN->VIEW->LOGOUT session
M1_00069,valid,normal LOGIN->VIEW->LOGOUT session
M1_00070,valid,normal LOGIN->VIEW->LOGOUT session
M1_00071,valid,normal LOGIN->VIEW->LOGOUT session
M1_00072,valid,normal LOGIN->VIEW->LOGOUT session
M1_00073,valid,normal LOGIN->VIEW->LOGOUT session
M1_00074,invalid,missing LOGOUT
M1_00075,valid,normal LOGIN->VIEW->LOGOUT session
M1_00076,valid,normal LOGIN->VIEW->LOGOUT session
M1_00077,valid,normal LOGIN->VIEW->LOGOUT session
M1_00078,valid,normal LOGIN->VIEW->LOGOUT session
M1_00079,valid,normal LOGIN->VIEW->LOGOUT session
M1_00080,valid,normal LOGIN->VIEW->LOGOUT session
M1_00081,invalid,missing LOGIN
M1_00082,valid,normal LOGIN->VIEW->LOGOUT session
M1_00083,invalid,missing LOGOUT
M1_00084,valid,normal LOGIN->VIEW->LOGOUT session
M1_00085,invalid,action after LOGOUT
M1_00086,valid,normal LOGIN->VIEW->LOGOUT session
M1_00087,valid,normal LOGIN->VIEW->LOGOUT session
M1_00088,valid,normal LOGIN->VIEW->LOGOUT session
M1_00089,valid,normal LOGIN->VIEW->LOGOUT session
M1_00090,valid,normal LOGIN->VIEW->LOGOUT session
M1_00091,valid,normal LOGIN->VIEW->LOGOUT session
M1_00092,valid,normal LOGIN->VIEW->LOGOUT session
M1_00093,valid,normal LOGIN->VIEW->LOGOUT session
M1_00094,valid,normal LOGIN->VIEW->LOGOUT session
M1_00095,valid,normal LOGIN->VIEW->LOGOUT session
M1_00096,valid,normal LOGIN->VIEW->LOGOUT session
M1_00097,invalid,missing LOGOUT
M1_00098,invalid,missing LOGOUT
M1_00099,valid,normal LOGIN->VIEW->LOGOUT session
M1_00100,valid,normal LOGIN->VIEW->LOGOUT session
M1_00101,valid,normal LOGIN->VIEW->LOGOUT session
M1_00102,valid,normal LOGIN->VIEW->LOGOUT session
M1_00103,valid,normal LOGIN->VIEW->LOGOUT session
M1_00104,invalid,missing LOGIN
M1_00105,invalid,missing LOGOUT
M1_00106,valid,normal LOGIN->VIEW->LOGOUT session
M1_00107,valid,normal LOGIN->VIEW->LOGOUT session
M1_00108,invalid,action after LOGOUT
M1_00109,invalid,missing LOGOUT
M1_00110,invalid,missing LOGOUT
M1_00111,valid,normal LOGIN->VIEW->LOGOUT session
M1_00112,invalid,action after LOGOUT
M1_00113,invalid,missing LOGOUT
M1_00114,valid,normal LOGIN->VIEW->LOGOUT session
M1_00115,invalid,action after LOGOUT
M1_00116,valid,normal LOGIN->VIEW->LOGOUT session
M1_00117,valid,normal LOGIN->VIEW->LOGOUT session
M1_00118,valid,normal LOGIN->VIEW->LOGOUT session
M1_00119,valid,normal LOGIN->VIEW->LOGOUT session
M1_00120,valid,normal LOGIN->VIEW->LOGOUT session
M1_00121,invalid,missing LOGOUT
M1_00122,valid,normal LOGIN->VIEW->LOGOUT session
M1_00123,valid,normal LOGIN->VIEW->LOGOUT session
M1_00124,invalid,missing LOGOUT
M1_00125,valid,normal LOGIN->VIEW->LOGOUT session
M1_00126,valid,normal LOGIN->VIEW->LOGOUT session
M1_00127,invalid,missing LOGIN
M1_00128,valid,normal LOGIN->VIEW->LOGOUT session
M1_00129,invalid,missing LOGIN
M1_00130,invalid,action after LOGOUT
M1_00131,invalid,missing LOGIN
